map,reock,polsby_popper,cut_score,population_compactness,compactness
official-proxy,0.414500,0.331500,604,2152136.451900,62
000000000,0.361300,0.180300,806,2111584.686100,32
000000001,0.356500,0.181000,803,2118384.017900,32
000000002,0.378200,0.189700,791,1990423.898400,36
000000003,0.378900,0.193500,785,1984986.125800,38
000000004,0.390500,0.201100,770,1947500.464600,40
000000005,0.383800,0.197100,778,1958007.498300,39
000000006,0.410300,0.203200,773,2008132.547700,45
000000007,0.401400,0.201400,777,2029102.945000,43
000000008,0.398300,0.205000,772,2035344.982700,42
000000009,0.395100,0.201700,776,2036587.559300,42
000000010,0.395100,0.202900,771,2036426.889400,42
000000011,0.395300,0.209700,762,2059334.168900,42
000000012,0.398600,0.210700,765,2054117.088600,44
000000013,0.394000,0.210400,763,2077183.844900,43
000000014,0.399500,0.223500,718,1963972.691700,46
000000015,0.408500,0.226700,699,1972939.804700,48
000000016,0.409800,0.233000,686,1969507.131400,48
000000017,0.410600,0.234300,692,1968433.606600,49
000000018,0.428200,0.238500,681,1970584.426500,53
000000019,0.427200,0.237500,684,1977534.832200,52
000000020,0.428200,0.251900,665,1974164.089000,54
000000021,0.420000,0.249900,677,2002369.393800,52
000000022,0.402100,0.249700,687,2020484.511300,49
000000023,0.410100,0.251200,675,1992383.861400,51
000000024,0.413500,0.246800,666,1971059.072800,51
000000025,0.418300,0.254800,661,1979522.091400,53
000000026,0.420000,0.258800,657,1970516.463600,54
000000027,0.417200,0.256900,645,1963456.738000,53
000000028,0.422200,0.260900,645,1943568.844500,54
000000029,0.412000,0.267900,652,1954081.616000,54
000000030,0.410800,0.262900,671,1963982.490500,52
000000031,0.410800,0.262900,671,1963982.490500,52
000000032,0.402700,0.268000,669,1953795.375500,52
000000033,0.419500,0.287800,640,1858875.004900,58
000000034,0.416400,0.285000,647,1859579.120800,56
000000035,0.429300,0.288300,655,1856085.451300,60
000000036,0.418800,0.285000,658,1814145.128000,57
000000037,0.422200,0.288500,652,1836341.378100,58
000000038,0.431300,0.281100,648,1822958.035300,59
000000039,0.431500,0.282400,648,1833122.829500,60
000000040,0.431500,0.280100,656,1834562.281400,59
000000041,0.431500,0.280100,656,1834562.281400,59
000000042,0.431500,0.280100,656,1834562.281400,59
000000043,0.431500,0.280100,656,1834562.281400,59
000000044,0.428600,0.278000,660,1888388.341600,58
000000045,0.427500,0.276000,661,1897071.615200,58
000000046,0.435100,0.274100,667,1893435.304900,59
000000047,0.434900,0.278100,666,1894225.489300,60
000000048,0.426000,0.283600,662,1914512.745900,58
000000049,0.416500,0.278500,653,1953248.075100,56
000000050,0.423000,0.277300,647,1971690.038800,56
000000051,0.420100,0.275500,654,1975956.618300,56
000000052,0.436100,0.271000,661,1968399.923600,58
000000053,0.433500,0.274100,654,1970311.996600,58
000000054,0.433500,0.274100,654,1970311.996600,58
000000055,0.430600,0.272800,662,1970222.727000,58
000000056,0.425700,0.285500,643,1944078.568800,58
000000057,0.425700,0.285500,643,1944078.568800,58
000000058,0.422600,0.279500,656,1953670.545700,57
000000059,0.404100,0.280100,668,2038945.527000,54
000000060,0.395600,0.278300,662,2197084.047800,52
000000061,0.395600,0.278300,662,2197084.047800,52
000000062,0.395600,0.278300,662,2197084.047800,52
000000063,0.398600,0.285500,664,2194946.528100,52
000000064,0.398600,0.285500,664,2194946.528100,52
000000065,0.406800,0.290800,651,2183134.377900,56
000000066,0.406900,0.288100,653,2182483.831800,55
000000067,0.415600,0.294200,649,2184500.780900,58
000000068,0.415000,0.282300,649,2171527.150300,56
000000069,0.415000,0.282300,649,2171527.150300,56
000000070,0.407000,0.275300,667,2177373.807600,54
000000071,0.418000,0.279700,651,1943563.601500,56
000000072,0.409500,0.279700,641,1953654.596600,54
000000073,0.407900,0.281000,651,1911899.343200,54
000000074,0.412000,0.287600,651,1919324.427400,56
000000075,0.412000,0.287600,651,1919324.427400,56
000000076,0.412600,0.288300,657,1916440.496100,56
000000077,0.402800,0.297500,635,1878493.043000,55
000000078,0.402800,0.297500,635,1878493.043000,55
000000079,0.389100,0.287600,650,1911295.726700,52
000000080,0.396400,0.299300,638,1906112.847200,54
000000081,0.386200,0.295800,629,1902176.423900,52
000000082,0.388800,0.297000,625,1907275.967800,52
000000083,0.388600,0.296600,628,1905908.926500,52
000000084,0.394800,0.296100,629,1860412.454700,54
000000085,0.394800,0.296100,629,1860412.454700,54
000000086,0.400900,0.309400,620,1834714.980200,56
000000087,0.400700,0.315300,612,1833464.678900,57
000000088,0.398200,0.315900,608,1828949.817500,56
000000089,0.393000,0.321100,602,1834871.625500,56
000000090,0.369300,0.315200,608,1865484.043200,51
000000091,0.369300,0.315200,608,1865484.043200,51
000000092,0.362800,0.307900,606,1853780.685000,48
000000093,0.358100,0.304000,614,1895286.847700,47
000000094,0.360300,0.301600,620,1892649.098400,47
000000095,0.339100,0.279600,640,2103791.513300,40
000000096,0.319900,0.268900,652,2122539.167500,35
000000097,0.334900,0.259500,661,2113776.323600,37
000000098,0.330000,0.257200,657,2118534.746700,36
000000099,0.330000,0.257200,657,2118534.746700,36
