map,population_deviation
official-proxy,0.007300
000000000,0.008400
000000001,0.008700
000000002,0.009100
000000003,0.008600
000000004,0.008900
000000005,0.008900
000000006,0.008900
000000007,0.009400
000000008,0.009400
000000009,0.009400
000000010,0.009400
000000011,0.008200
000000012,0.008200
000000013,0.008400
000000014,0.008400
000000015,0.008400
000000016,0.008400
000000017,0.008400
000000018,0.008400
000000019,0.008400
000000020,0.008400
000000021,0.008400
000000022,0.008200
000000023,0.008200
000000024,0.008200
000000025,0.008300
000000026,0.008300
000000027,0.008300
000000028,0.008300
000000029,0.008300
000000030,0.008300
000000031,0.008300
000000032,0.008300
000000033,0.008300
000000034,0.008300
000000035,0.008300
000000036,0.007500
000000037,0.007500
000000038,0.008200
000000039,0.008900
000000040,0.009000
000000041,0.009000
000000042,0.009000
000000043,0.009000
000000044,0.009600
000000045,0.009700
000000046,0.009700
000000047,0.009700
000000048,0.009500
000000049,0.009500
000000050,0.009500
000000051,0.009500
000000052,0.009500
000000053,0.009500
000000054,0.009500
000000055,0.009400
000000056,0.009400
000000057,0.009400
000000058,0.009400
000000059,0.009400
000000060,0.009400
000000061,0.009400
000000062,0.009400
000000063,0.008100
000000064,0.008100
000000065,0.008100
000000066,0.008200
000000067,0.008200
000000068,0.009200
000000069,0.009200
000000070,0.009200
000000071,0.009300
000000072,0.009300
000000073,0.009200
000000074,0.009200
000000075,0.009200
000000076,0.009400
000000077,0.009400
000000078,0.009400
000000079,0.009400
000000080,0.009400
000000081,0.009500
000000082,0.009500
000000083,0.009500
000000084,0.009500
000000085,0.009500
000000086,0.009500
000000087,0.009500
000000088,0.009400
000000089,0.009400
000000090,0.009400
000000091,0.009400
000000092,0.009400
000000093,0.009300
000000094,0.008900
000000095,0.008900
000000096,0.009100
000000097,0.009100
000000098,0.009100
000000099,0.009100
