map,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,minority,alt_opportunity_districts,alt_coalition_districts,minority_alt
official-proxy,0.940500,5,7.475300,5,60,1.762100,8.297600,68
000000000,0.000000,5,7.538500,5,50,0.527000,8.374800,56
000000001,0.000000,5,7.569000,5,50,0.526500,8.405300,56
000000002,0.000000,5,7.569000,5,50,0.526500,8.594800,56
000000003,0.000000,5,7.631300,5,50,0.478700,8.657100,55
000000004,0.000000,5,7.633300,5,50,0.461000,8.659000,54
000000005,0.000000,5,7.633300,5,50,0.461000,8.659000,54
000000006,0.000000,5,7.633300,5,50,0.461000,8.595800,54
000000007,0.000000,5,7.632800,5,50,0.469200,8.595300,54
000000008,0.000000,5,7.618100,5,50,0.438000,8.955300,54
000000009,0.000000,5,7.623400,5,50,0.438100,8.941000,54
000000010,0.000000,5,7.629100,5,50,0.438700,8.918400,54
000000011,0.000000,5,7.628800,5,50,0.407600,8.926200,54
000000012,0.000000,5,7.628800,5,50,0.407600,8.926200,54
000000013,0.000000,5,7.713800,5,50,0.430300,8.802700,54
000000014,0.000000,5,7.488900,5,50,0.447000,8.577800,54
000000015,0.000000,5,7.438900,5,50,0.434000,8.648900,54
000000016,0.000000,5,7.438900,5,50,0.434000,8.648900,54
000000017,0.000000,5,7.424900,5,50,0.432300,8.659400,54
000000018,0.000000,5,7.425900,5,50,0.556700,8.660400,56
000000019,0.000000,5,7.441000,5,50,0.556700,8.668400,56
000000020,0.000000,5,7.439200,5,50,0.556200,8.666600,56
000000021,0.000000,5,7.439200,5,50,0.556200,8.666500,56
000000022,0.000000,5,8.150400,5,50,0.556700,8.997700,56
000000023,0.000000,5,8.150400,5,50,0.556700,8.997700,56
000000024,0.000000,5,8.062400,5,50,0.559000,8.909700,56
000000025,0.000000,5,7.982500,5,50,0.496700,8.886300,55
000000026,0.000000,5,7.278400,5,50,0.496700,8.835300,55
000000027,0.000000,5,7.333700,5,50,0.440500,8.828700,54
000000028,0.000000,5,7.333700,5,50,0.440500,8.790900,54
000000029,0.000000,5,7.622700,5,50,0.505600,8.785100,55
000000030,0.000000,5,6.671400,5,50,0.604700,8.177900,56
000000031,0.000000,5,6.671400,5,50,0.604700,8.177900,56
000000032,0.000000,5,6.671400,5,50,0.604700,8.165800,56
000000033,0.000000,5,6.642800,5,50,0.824700,8.137200,58
000000034,0.000000,5,6.646200,5,50,0.817200,8.140600,58
000000035,0.000000,5,6.675700,5,50,0.817800,8.170100,58
000000036,0.000000,5,6.675700,5,50,0.821000,8.375300,58
000000037,0.000000,5,6.675700,5,50,0.817700,7.981900,58
000000038,0.000000,5,5.690600,5,50,0.752500,7.999800,58
000000039,0.000000,5,5.690600,5,50,0.752500,7.999600,58
000000040,0.000000,5,6.386300,5,50,0.752700,7.999400,58
000000041,0.000000,5,6.386300,5,50,0.752700,7.999400,58
000000042,0.000000,5,6.386300,5,50,0.752700,7.999400,58
000000043,0.000000,5,6.386300,5,50,0.752700,7.999400,58
000000044,0.000000,5,6.385900,5,50,0.659300,8.210200,56
000000045,0.000000,5,6.385900,5,50,0.659400,8.427100,56
000000046,0.000000,5,6.383600,5,50,0.658700,8.424800,56
000000047,0.000000,5,6.383500,5,50,0.658700,8.426400,56
000000048,0.000000,5,6.686900,5,50,0.855500,8.406900,58
000000049,0.000000,5,5.819700,5,50,0.850500,8.198700,58
000000050,0.000000,5,5.819700,5,50,0.854300,8.204400,58
000000051,0.000000,5,5.835000,5,50,0.854400,8.196400,58
000000052,0.000000,5,5.835000,5,50,0.853500,8.189200,58
000000053,0.000000,5,5.834900,5,50,0.839600,8.197800,58
000000054,0.000000,5,5.834900,5,50,0.839600,8.197800,58
000000055,0.000000,5,5.834900,5,50,0.839600,8.197800,58
000000056,0.000000,5,5.834900,5,50,0.855700,8.194800,58
000000057,0.000000,5,5.834900,5,50,0.855700,8.194800,58
000000058,0.000000,5,5.835700,5,50,0.978300,8.052400,60
000000059,0.000000,5,5.835700,5,50,0.978300,7.899600,60
000000060,0.000000,5,5.835700,5,50,0.978200,7.667500,60
000000061,0.000000,5,5.835700,5,50,0.978200,7.667500,60
000000062,0.000000,5,5.835700,5,50,0.978200,7.667500,60
000000063,0.000000,5,5.835700,5,50,0.978200,7.652300,60
000000064,0.000000,5,5.835700,5,50,0.978200,7.652300,60
000000065,0.000000,5,6.732300,5,50,0.877100,8.218500,59
000000066,0.000000,5,6.732400,5,50,0.877100,8.217600,59
000000067,0.000000,5,6.718000,5,50,0.877200,8.203100,59
000000068,0.000000,5,6.718000,5,50,0.877000,7.996100,59
000000069,0.000000,5,6.718000,5,50,0.877000,7.996100,59
000000070,0.000000,5,5.821300,5,50,0.941900,7.539700,60
000000071,0.000000,5,5.821300,5,50,0.942300,7.910100,60
000000072,0.000000,5,5.821300,5,50,0.942300,7.910100,60
000000073,0.000000,5,6.614900,5,50,0.943300,8.202200,60
000000074,0.000000,5,6.567000,5,50,0.658400,8.264300,56
000000075,0.000000,5,6.567000,5,50,0.658400,8.264300,56
000000076,0.000000,5,6.567100,5,50,0.993900,8.063200,60
000000077,0.000000,5,6.567100,5,50,0.993900,8.215500,60
000000078,0.000000,5,6.567100,5,50,0.993900,8.215500,60
000000079,0.000000,5,6.567000,5,50,0.977200,8.220800,60
000000080,0.000000,5,6.566800,5,50,0.975900,8.220600,60
000000081,0.000000,5,6.596000,5,50,0.976600,8.249700,60
000000082,0.000000,5,6.596000,5,50,1.040300,8.240900,60
000000083,0.000000,5,6.596000,5,50,1.021700,8.190400,60
000000084,0.000000,5,6.553800,5,50,1.009200,8.225100,60
000000085,0.000000,5,6.553800,5,50,1.009200,8.225100,60
000000086,0.000000,5,6.553800,5,50,1.018400,8.223400,60
000000087,0.000000,5,6.553800,5,50,0.980900,8.240700,60
000000088,0.000000,5,6.537900,5,50,0.980700,8.252100,60
000000089,0.000000,5,6.537300,5,50,0.983500,8.251500,60
000000090,0.000000,5,7.405700,5,50,0.815900,8.730000,58
000000091,0.000000,5,7.405700,5,50,0.815900,8.730000,58
000000092,0.000000,5,7.405700,5,50,0.880800,8.657100,59
000000093,0.000000,5,7.460100,5,50,0.881600,8.608600,59
000000094,0.000000,5,7.460300,5,50,0.894600,8.579000,59
000000095,0.000000,5,7.461400,5,50,1.062800,8.484900,60
000000096,0.000000,5,8.252100,5,50,0.828200,9.097100,58
000000097,0.000000,5,7.478500,5,50,0.824000,8.985600,58
000000098,0.000000,5,7.478300,5,50,0.807400,9.024600,58
000000099,0.000000,5,7.478300,5,50,0.807400,9.024600,58
